texlive-latexextra 2023.66594-20
texlive-mathscience 2023.66594-20
texlive-music 2023.66594-20
texlive-pictures 2023.66594-20
texlive-pstricks 2023.66594-20
texlive-publishers 2023.66594-20
the_silver_searcher 2.2.0-2
thunderbird 115.6.1-1
tk 8.6.13-2
tldr 3.2.0-1
tmux 3.3_a-7
tor 0.4.8.10-1
traceroute 2.1.5-1
ttf-all-the-icons 4.0.1-1
ttf-dejavu 2.37+18+g9b5d1b2f-6
ttf-droid 20121017-10
ttf-firacode-nerd 3.1.1-1
ttf-font-awesome 6.5.1-1
ttf-inconsolata 1:3.000-3
ttf-liberation 2.1.5-1
ttf-roboto 2.138-4
ttf-symbola 14.00-1
ttf-ubuntu-font-family 1:0.83-1
ttf-victor-mono 1.5.5-1
ubuntu-keyring 2021.03.26-1
unzip 6.0-20
urxvt-perls 2.3-2
valgrind 3.22.0-1
vi 1:070224-6
vim 9.1.0000-1
visidata 3.0.2-1
vivaldi-ffmpeg-codecs 120.0.6099.80-1
w3m 0.5.3.git20230713_1-1
wallutils 5.12.7-1
waybar 0.9.24-2
wget 1.21.4-1
which 2.21-6
whois 5.5.20-1
wireguard-tools 1.0.20210914-1
wireshark-qt 4.2.2-1
wl-clipboard 1:2.2.1-1
woeusb-ng 0.2.10-1
wpa_supplicant 2:2.10-8
xcursor-comix 0.9.2-1
xdg-desktop-portal-wlr 0.7.0-2
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-vesa 2.6.0-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.11-1
xorg-server-common 21.1.11-1
xorg-server-devel 21.1.11-1
xorg-server-xephyr 21.1.11-1
xorg-server-xnest 21.1.11-1
xorg-server-xvfb 21.1.11-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.4-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xterm 389-1
yay 11.0.2-1
yq 3.2.3-1
zsh 5.9-4
